,freq,MAP,encgf
0,0.025,500.0,27.347946531089782
1,0.025,1000.0,27.36475532574205
2,0.025,1500.0,27.366490122174334
3,0.025,2000.0,27.367112058820634
4,0.025,2500.0,27.36742973118092
5,0.025,3000.0,27.36762218056249
6,0.05,500.0,27.360258183932878
7,0.05,1000.0,27.36889914572668
8,0.05,1500.0,27.36964565330617
9,0.05,2000.0,27.369910250222226
10,0.05,2500.0,27.370045139419716
11,0.05,3000.0,27.370126834136958
